[s],CH1[V]
-1.01670E-05,-4.916E-01
-1.01660E-05,-4.916E-01
-1.01650E-05,-4.916E-01
-1.01640E-05,-4.916E-01
-1.01630E-05,-4.916E-01
-1.01620E-05,-4.716E-01
-1.01610E-05,-4.916E-01
-1.01600E-05,-4.916E-01
-1.01590E-05,-5.116E-01
-1.01580E-05,-4.916E-01
-1.01570E-05,-4.916E-01
-1.01560E-05,-4.916E-01
-1.01550E-05,-4.716E-01
-1.01540E-05,-4.916E-01
-1.01530E-05,-4.916E-01
-1.01520E-05,-4.916E-01
-1.01510E-05,-4.916E-01
-1.01500E-05,-4.916E-01
-1.01490E-05,-5.116E-01
-1.01480E-05,-5.116E-01
-1.01470E-05,-4.916E-01
-1.01460E-05,-4.916E-01
-1.01450E-05,-4.916E-01
-1.01440E-05,-4.916E-01
-1.01430E-05,-4.916E-01
-1.01420E-05,-4.916E-01
-1.01410E-05,-4.916E-01
-1.01400E-05,-4.916E-01
-1.01390E-05,-4.916E-01
-1.01380E-05,-5.116E-01
-1.01370E-05,-4.916E-01
-1.01360E-05,-4.916E-01
-1.01350E-05,-4.916E-01
-1.01340E-05,-4.916E-01
-1.01330E-05,-4.916E-01
-1.01320E-05,-4.916E-01
-1.01310E-05,-4.716E-01
-1.01300E-05,-4.916E-01
-1.01290E-05,-4.716E-01
-1.01280E-05,-4.916E-01
-1.01270E-05,-4.916E-01
-1.01260E-05,-4.916E-01
-1.01250E-05,-4.916E-01
-1.01240E-05,-4.916E-01
-1.01230E-05,-4.916E-01
-1.01220E-05,-4.916E-01
-1.01210E-05,-4.916E-01
-1.01200E-05,-4.916E-01
-1.01190E-05,-4.916E-01
-1.01180E-05,-4.916E-01
-1.01170E-05,-4.916E-01
-1.01160E-05,-4.916E-01
-1.01150E-05,-4.916E-01
-1.01140E-05,-4.916E-01
-1.01130E-05,-4.916E-01
-1.01120E-05,-4.916E-01
-1.01110E-05,-4.916E-01
-1.01100E-05,-4.916E-01
-1.01090E-05,-4.916E-01
-1.01080E-05,-4.916E-01
-1.01070E-05,-4.916E-01
-1.01060E-05,-4.916E-01
-1.01050E-05,-4.916E-01
-1.01040E-05,-4.916E-01
-1.01030E-05,-5.116E-01
-1.01020E-05,-4.916E-01
-1.01010E-05,-4.916E-01
-1.01000E-05,-4.916E-01
-1.00990E-05,-4.916E-01
-1.00980E-05,-4.916E-01
-1.00970E-05,-4.916E-01
-1.00960E-05,-4.916E-01
-1.00950E-05,-4.916E-01
-1.00940E-05,-4.916E-01
-1.00930E-05,-4.916E-01
-1.00920E-05,-4.916E-01
-1.00910E-05,-4.916E-01
-1.00900E-05,-4.916E-01
-1.00890E-05,-4.916E-01
-1.00880E-05,-4.916E-01
-1.00870E-05,-5.116E-01
-1.00860E-05,-5.116E-01
-1.00850E-05,-5.116E-01
-1.00840E-05,-5.116E-01
-1.00830E-05,-5.116E-01
-1.00820E-05,-4.916E-01
-1.00810E-05,-4.916E-01
-1.00800E-05,-4.916E-01
-1.00790E-05,-4.916E-01
-1.00780E-05,-4.916E-01
-1.00770E-05,-4.916E-01
-1.00760E-05,-4.916E-01
-1.00750E-05,-4.916E-01
-1.00740E-05,-4.916E-01
-1.00730E-05,-5.116E-01
-1.00720E-05,-4.916E-01
-1.00710E-05,-5.116E-01
-1.00700E-05,-4.716E-01
-1.00690E-05,-4.916E-01
-1.00680E-05,-4.916E-01
-1.00670E-05,-4.916E-01
-1.00660E-05,-4.716E-01
-1.00650E-05,-4.916E-01
-1.00640E-05,-4.916E-01
-1.00630E-05,-4.916E-01
-1.00620E-05,-4.916E-01
-1.00610E-05,-4.916E-01
-1.00600E-05,-5.116E-01
-1.00590E-05,-5.116E-01
-1.00580E-05,-4.916E-01
-1.00570E-05,-4.916E-01
-1.00560E-05,-4.916E-01
-1.00550E-05,-4.916E-01
-1.00540E-05,-4.916E-01
-1.00530E-05,-4.916E-01
-1.00520E-05,-4.916E-01
-1.00510E-05,-4.916E-01
-1.00500E-05,-4.916E-01
-1.00490E-05,-4.916E-01
-1.00480E-05,-4.916E-01
-1.00470E-05,-5.116E-01
-1.00460E-05,-4.916E-01
-1.00450E-05,-4.916E-01
-1.00440E-05,-4.916E-01
-1.00430E-05,-4.916E-01
-1.00420E-05,-4.916E-01
-1.00410E-05,-4.916E-01
-1.00400E-05,-4.916E-01
-1.00390E-05,-4.916E-01
-1.00380E-05,-4.916E-01
-1.00370E-05,-4.916E-01
-1.00360E-05,-4.916E-01
-1.00350E-05,-4.916E-01
-1.00340E-05,-4.916E-01
-1.00330E-05,-4.916E-01
-1.00320E-05,-4.916E-01
-1.00310E-05,-4.716E-01
-1.00300E-05,-4.916E-01
-1.00290E-05,-4.916E-01
-1.00280E-05,-5.116E-01
-1.00270E-05,-4.916E-01
-1.00260E-05,-4.916E-01
-1.00250E-05,-4.916E-01
-1.00240E-05,-4.916E-01
-1.00230E-05,-4.916E-01
-1.00220E-05,-4.916E-01
-1.00210E-05,-5.116E-01
-1.00200E-05,-4.916E-01
-1.00190E-05,-4.916E-01
-1.00180E-05,-4.916E-01
-1.00170E-05,-4.916E-01
-1.00160E-05,-4.916E-01
-1.00150E-05,-4.916E-01
-1.00140E-05,-4.916E-01
-1.00130E-05,-4.916E-01
-1.00120E-05,-4.916E-01
-1.00110E-05,-4.916E-01
-1.00100E-05,-4.916E-01
-1.00090E-05,-4.916E-01
-1.00080E-05,-4.916E-01
-1.00070E-05,-4.916E-01
-1.00060E-05,-4.716E-01
-1.00050E-05,-4.716E-01
-1.00040E-05,-4.516E-01
-1.00030E-05,-4.116E-01
-1.00020E-05,-4.116E-01
-1.00010E-05,-3.916E-01
-1.00000E-05,-3.516E-01
-9.99900E-06,-3.116E-01
-9.99800E-06,-2.716E-01
-9.99700E-06,-2.316E-01
-9.99600E-06,-1.716E-01
-9.99500E-06,-1.116E-01
-9.99400E-06,-9.159E-02
-9.99300E-06,-3.159E-02
-9.99200E-06,-1.159E-02
-9.99100E-06,4.841E-02
-9.99000E-06,8.841E-02
-9.98900E-06,1.284E-01
-9.98800E-06,1.484E-01
-9.98700E-06,1.884E-01
-9.98600E-06,2.084E-01
-9.98500E-06,2.284E-01
-9.98400E-06,2.484E-01
-9.98300E-06,2.684E-01
-9.98200E-06,2.684E-01
-9.98100E-06,3.084E-01
-9.98000E-06,3.084E-01
-9.97900E-06,3.484E-01
-9.97800E-06,3.284E-01
-9.97700E-06,3.484E-01
-9.97600E-06,3.684E-01
-9.97500E-06,3.684E-01
-9.97400E-06,3.884E-01
-9.97300E-06,3.884E-01
-9.97200E-06,4.284E-01
-9.97100E-06,4.284E-01
-9.97000E-06,4.484E-01
-9.96900E-06,4.484E-01
-9.96800E-06,4.484E-01
-9.96700E-06,4.684E-01
-9.96600E-06,4.684E-01
-9.96500E-06,4.484E-01
-9.96400E-06,4.484E-01
-9.96300E-06,4.484E-01
-9.96200E-06,4.284E-01
-9.96100E-06,4.284E-01
-9.96000E-06,4.284E-01
-9.95900E-06,4.284E-01
-9.95800E-06,4.084E-01
-9.95700E-06,4.084E-01
-9.95600E-06,4.084E-01
-9.95500E-06,4.084E-01
-9.95400E-06,4.084E-01
-9.95300E-06,4.084E-01
-9.95200E-06,4.284E-01
-9.95100E-06,4.084E-01
-9.95000E-06,4.284E-01
-9.94900E-06,4.084E-01
-9.94800E-06,4.284E-01
-9.94700E-06,4.484E-01
-9.94600E-06,4.284E-01
-9.94500E-06,4.484E-01
-9.94400E-06,4.284E-01
-9.94300E-06,4.284E-01
-9.94200E-06,4.284E-01
-9.94100E-06,4.484E-01
-9.94000E-06,4.284E-01
-9.93900E-06,4.284E-01
-9.93800E-06,4.284E-01
-9.93700E-06,4.284E-01
-9.93600E-06,4.284E-01
-9.93500E-06,4.284E-01
-9.93400E-06,4.084E-01
-9.93300E-06,4.284E-01
-9.93200E-06,4.284E-01
-9.93100E-06,4.284E-01
-9.93000E-06,4.284E-01
-9.92900E-06,4.284E-01
-9.92800E-06,4.484E-01
-9.92700E-06,4.484E-01
-9.92600E-06,4.484E-01
-9.92500E-06,4.484E-01
-9.92400E-06,4.484E-01
-9.92300E-06,4.684E-01
-9.92200E-06,4.484E-01
-9.92100E-06,4.484E-01
-9.92000E-06,4.484E-01
-9.91900E-06,4.484E-01
-9.91800E-06,4.484E-01
-9.91700E-06,4.484E-01
-9.91600E-06,4.484E-01
-9.91500E-06,4.484E-01
-9.91400E-06,4.484E-01
-9.91300E-06,4.484E-01
-9.91200E-06,4.484E-01
-9.91100E-06,4.484E-01
-9.91000E-06,4.484E-01
-9.90900E-06,4.484E-01
-9.90800E-06,4.484E-01
-9.90700E-06,4.484E-01
-9.90600E-06,4.484E-01
-9.90500E-06,4.484E-01
-9.90400E-06,4.684E-01
-9.90300E-06,4.484E-01
-9.90200E-06,4.484E-01
-9.90100E-06,4.484E-01
-9.90000E-06,4.684E-01
-9.89900E-06,4.684E-01
-9.89800E-06,4.684E-01
-9.89700E-06,4.684E-01
-9.89600E-06,4.484E-01
-9.89500E-06,4.684E-01
-9.89400E-06,4.484E-01
-9.89300E-06,4.484E-01
-9.89200E-06,4.484E-01
-9.89100E-06,4.484E-01
-9.89000E-06,4.484E-01
-9.88900E-06,4.484E-01
-9.88800E-06,4.484E-01
-9.88700E-06,4.484E-01
-9.88600E-06,4.484E-01
-9.88500E-06,4.484E-01
-9.88400E-06,4.484E-01
-9.88300E-06,4.484E-01
-9.88200E-06,4.484E-01
-9.88100E-06,4.684E-01
-9.88000E-06,4.484E-01
-9.87900E-06,4.684E-01
-9.87800E-06,4.484E-01
-9.87700E-06,4.684E-01
-9.87600E-06,4.684E-01
-9.87500E-06,4.484E-01
-9.87400E-06,4.484E-01
-9.87300E-06,4.484E-01
-9.87200E-06,4.484E-01
-9.87100E-06,4.484E-01
-9.87000E-06,4.484E-01
-9.86900E-06,4.484E-01
-9.86800E-06,4.484E-01
-9.86700E-06,4.484E-01
-9.86600E-06,4.484E-01
-9.86500E-06,4.484E-01
-9.86400E-06,4.284E-01
-9.86300E-06,4.484E-01
-9.86200E-06,4.284E-01
-9.86100E-06,4.484E-01
-9.86000E-06,4.484E-01
-9.85900E-06,4.484E-01
-9.85800E-06,4.484E-01
-9.85700E-06,4.684E-01
-9.85600E-06,4.484E-01
-9.85500E-06,4.684E-01
-9.85400E-06,4.484E-01
-9.85300E-06,4.484E-01
-9.85200E-06,4.684E-01
-9.85100E-06,4.484E-01
-9.85000E-06,4.484E-01
-9.84900E-06,4.484E-01
-9.84800E-06,4.684E-01
-9.84700E-06,4.484E-01
-9.84600E-06,4.484E-01
-9.84500E-06,4.484E-01
-9.84400E-06,4.484E-01
-9.84300E-06,4.484E-01
-9.84200E-06,4.484E-01
-9.84100E-06,4.684E-01
-9.84000E-06,4.684E-01
-9.83900E-06,4.484E-01
-9.83800E-06,4.484E-01
-9.83700E-06,4.484E-01
-9.83600E-06,4.484E-01
-9.83500E-06,4.484E-01
-9.83400E-06,4.484E-01
-9.83300E-06,4.484E-01
-9.83200E-06,4.484E-01
-9.83100E-06,4.484E-01
-9.83000E-06,4.484E-01
-9.82900E-06,4.684E-01
-9.82800E-06,4.684E-01
-9.82700E-06,4.484E-01
-9.82600E-06,4.484E-01
-9.82500E-06,4.484E-01
-9.82400E-06,4.484E-01
-9.82300E-06,4.484E-01
-9.82200E-06,4.484E-01
-9.82100E-06,4.484E-01
-9.82000E-06,4.484E-01
-9.81900E-06,4.484E-01
-9.81800E-06,4.484E-01
-9.81700E-06,4.484E-01
-9.81600E-06,4.484E-01
-9.81500E-06,4.484E-01
-9.81400E-06,4.484E-01
-9.81300E-06,4.284E-01
-9.81200E-06,4.484E-01
-9.81100E-06,4.484E-01
-9.81000E-06,4.484E-01
-9.80900E-06,4.484E-01
-9.80800E-06,4.484E-01
-9.80700E-06,4.484E-01
-9.80600E-06,4.484E-01
-9.80500E-06,4.484E-01
-9.80400E-06,4.684E-01
-9.80300E-06,4.484E-01
-9.80200E-06,4.484E-01
-9.80100E-06,4.484E-01
-9.80000E-06,4.484E-01
-9.79900E-06,4.484E-01
-9.79800E-06,4.484E-01
-9.79700E-06,4.484E-01
-9.79600E-06,4.484E-01
-9.79500E-06,4.484E-01
-9.79400E-06,4.484E-01
-9.79300E-06,4.484E-01
-9.79200E-06,4.484E-01
-9.79100E-06,4.684E-01
-9.79000E-06,4.484E-01
-9.78900E-06,4.684E-01
-9.78800E-06,4.484E-01
-9.78700E-06,4.484E-01
-9.78600E-06,4.684E-01
-9.78500E-06,4.484E-01
-9.78400E-06,4.484E-01
-9.78300E-06,4.484E-01
-9.78200E-06,4.484E-01
-9.78100E-06,4.484E-01
-9.78000E-06,4.684E-01
-9.77900E-06,4.684E-01
-9.77800E-06,4.684E-01
-9.77700E-06,4.684E-01
-9.77600E-06,4.484E-01
-9.77500E-06,4.484E-01
-9.77400E-06,4.684E-01
-9.77300E-06,4.484E-01
-9.77200E-06,4.484E-01
-9.77100E-06,4.684E-01
-9.77000E-06,4.484E-01
-9.76900E-06,4.484E-01
-9.76800E-06,4.484E-01
-9.76700E-06,4.684E-01
-9.76600E-06,4.484E-01
-9.76500E-06,4.684E-01
-9.76400E-06,4.484E-01
-9.76300E-06,4.684E-01
-9.76200E-06,4.484E-01
-9.76100E-06,4.484E-01
-9.76000E-06,4.484E-01
-9.75900E-06,4.484E-01
-9.75800E-06,4.484E-01
-9.75700E-06,4.484E-01
-9.75600E-06,4.484E-01
-9.75500E-06,4.484E-01
-9.75400E-06,4.684E-01
-9.75300E-06,4.484E-01
-9.75200E-06,4.484E-01
-9.75100E-06,4.484E-01
-9.75000E-06,4.484E-01
-9.74900E-06,4.484E-01
-9.74800E-06,4.484E-01
-9.74700E-06,4.684E-01
-9.74600E-06,4.484E-01
-9.74500E-06,4.484E-01
-9.74400E-06,4.484E-01
-9.74300E-06,4.484E-01
-9.74200E-06,4.484E-01
-9.74100E-06,4.484E-01
-9.74000E-06,4.684E-01
-9.73900E-06,4.484E-01
-9.73800E-06,4.484E-01
-9.73700E-06,4.484E-01
-9.73600E-06,4.484E-01
-9.73500E-06,4.484E-01
-9.73400E-06,4.484E-01
-9.73300E-06,4.484E-01
-9.73200E-06,4.484E-01
-9.73100E-06,4.484E-01
-9.73000E-06,4.484E-01
-9.72900E-06,4.484E-01
-9.72800E-06,4.684E-01
-9.72700E-06,4.484E-01
-9.72600E-06,4.684E-01
-9.72500E-06,4.684E-01
-9.72400E-06,4.484E-01
-9.72300E-06,4.484E-01
-9.72200E-06,4.484E-01
-9.72100E-06,4.484E-01
-9.72000E-06,4.484E-01
-9.71900E-06,4.484E-01
-9.71800E-06,4.484E-01
-9.71700E-06,4.484E-01
-9.71600E-06,4.484E-01
-9.71500E-06,4.484E-01
